                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2479,                 7.6463,                 3.2227,                0.59844,                0.33297,                0.27253,                0.12224,                 3.5284,                 5.4185,                 3.5409,             0.00047508,             0.00047508,             0.00047508
                      2,                 3.3772,                 6.6902,                 3.3504,                0.64107,                0.28434,                0.27733,                0.12243,                 3.6321,                 5.4209,                 3.6122,             0.00093258,             0.00093258,             0.00093258
                      3,                 3.4813,                 5.8611,                  3.392,                0.62558,                0.32007,                 0.2926,                0.13431,                 3.6295,                 4.1615,                 3.5714,              0.0013712,              0.0013712,              0.0013712
                      4,                 3.5553,                 5.5389,                 3.4667,                0.62152,                0.34228,                0.29159,                0.12925,                 3.6124,                 4.1445,                 3.4917,              0.0013441,              0.0013441,              0.0013441
                      5,                 3.4891,                 4.9153,                 3.3142,                 0.6271,                0.33943,                0.29184,                0.12978,                 3.6526,                 3.7309,                 3.5619,              0.0013158,              0.0013158,              0.0013158
                      6,                 3.4575,                 4.4521,                 3.3328,                0.67051,                0.35833,                0.35604,                0.15879,                 3.6533,                 3.3151,                 3.6491,              0.0012875,              0.0012875,              0.0012875
                      7,                 3.4582,                 4.2365,                 3.3138,                0.68083,                0.35366,                0.36989,                0.16524,                 3.5672,                 3.3591,                 3.4983,              0.0012592,              0.0012592,              0.0012592
                      8,                 3.3914,                 4.1213,                 3.3084,                0.72497,                0.39759,                0.41017,                0.18283,                 3.6678,                 3.1088,                 3.5594,              0.0012309,              0.0012309,              0.0012309
                      9,                 3.3708,                 4.0857,                 3.2776,                0.70566,                0.40147,                0.42999,                 0.2124,                 3.5348,                 3.1497,                 3.4954,              0.0012026,              0.0012026,              0.0012026
                     10,                 3.3717,                 3.8596,                 3.2765,                0.76338,                0.40965,                0.50302,                0.23443,                 3.6124,                 2.8708,                 3.4397,              0.0011744,              0.0011744,              0.0011744
                     11,                 3.3831,                 3.7318,                 3.2483,                0.72729,                0.40265,                0.44308,                0.21439,                 3.5596,                 2.8805,                 3.4457,              0.0011461,              0.0011461,              0.0011461
                     12,                 3.3399,                 3.5501,                 3.2092,                 0.7343,                0.40933,                0.49313,                0.23646,                  3.447,                 2.8554,                 3.4156,              0.0011178,              0.0011178,              0.0011178
                     13,                 3.3251,                 3.5111,                 3.2433,                0.72343,                0.43858,                0.47058,                0.22908,                 3.5141,                 2.7482,                 3.4143,              0.0010895,              0.0010895,              0.0010895
                     14,                  3.306,                 3.4401,                 3.2199,                0.76778,                0.42314,                0.52902,                0.25011,                   3.68,                 2.7916,                 3.5349,              0.0010612,              0.0010612,              0.0010612
                     15,                 3.2833,                  3.336,                 3.2055,                0.74938,                0.42867,                0.49595,                 0.2418,                 3.5347,                 2.8758,                 3.4966,              0.0010329,              0.0010329,              0.0010329
                     16,                 3.2487,                 3.3001,                 3.1658,                0.74069,                0.46469,                0.54569,                0.26565,                 3.4697,                 2.6444,                  3.327,              0.0010046,              0.0010046,              0.0010046
                     17,                  3.274,                 3.2612,                 3.1565,                0.79341,                0.43689,                0.58274,                0.28658,                 3.5224,                 2.5476,                 3.3939,             0.00097629,             0.00097629,             0.00097629
                     18,                 3.2191,                 3.1466,                 3.1284,                0.77238,                0.45856,                0.60672,                0.30259,                 3.4492,                 2.3689,                 3.3631,               0.000948,               0.000948,               0.000948
                     19,                 3.2311,                 3.1402,                 3.1686,                0.51194,                0.58831,                0.58581,                0.28691,                 3.4758,                 2.4067,                 3.3065,              0.0009197,              0.0009197,              0.0009197
                     20,                 3.1992,                 3.1113,                  3.155,                0.46679,                0.60393,                0.58504,                0.29847,                 3.4052,                 2.3834,                 3.3414,             0.00089141,             0.00089141,             0.00089141
                     21,                 3.1398,                 2.9888,                 3.1119,                0.65351,                0.62261,                0.63345,                0.31609,                 3.3485,                 2.2871,                 3.3218,             0.00086312,             0.00086312,             0.00086312
                     22,                 3.1844,                 2.9601,                 3.1315,                0.51319,                0.61326,                0.60994,                0.29411,                 3.4097,                 2.2785,                 3.3049,             0.00083482,             0.00083482,             0.00083482
                     23,                   3.16,                 2.9191,                 3.1107,                0.58612,                0.58541,                0.60272,                0.29535,                 3.4404,                 2.2285,                 3.3226,             0.00080653,             0.00080653,             0.00080653
